gisjoin,year,state,statea,areaname,totblkpop,ncnatives,ncperblkpop,ncmigper
G010,1880,Alabama,10,Alabama,600107,12372,0.020616323,0.0203052
G045,1880,Arizona Territory,45,Arizona Territory,3582,2,0.000558347,0.0000033
G050,1880,Arkansas,50,Arkansas,210819,5897,0.027971862,0.0096783
G060,1880,California,60,California,22291,92,0.004127226,0.0001510
G080,1880,Colorado,80,Colorado,2559,43,0.016803439,0.0000706
G090,1880,Connecticut,90,Connecticut,11648,371,0.031850962,0.0006089
G095,1880,Dakota Territory,95,Dakota Territory,1612,2,0.001240695,0.0000033
G100,1880,Delaware,100,Delaware,26420,15,0.000567752,0.0000246
G110,1880,District Of Columbia,110,District of Columbia,59476,459,0.007717399,0.0007533
G120,1880,Florida,120,Florida,124682,3505,0.028111516,0.0057525
G130,1880,Georgia,130,Georgia,725043,7063,0.009741491,0.0115920
G165,1880,Idaho Territory,165,Idaho Territory,222,2,0.009009009,0.0000033
G170,1880,Illinois,170,Illinois,46123,638,0.013832578,0.0010471
G180,1880,Indiana,180,Indiana,39359,3167,0.080464443,0.0051978
G190,1880,Iowa,190,Iowa,9919,128,0.012904527,0.0002101
G200,1880,Kansas,200,Kansas,43799,842,0.019224183,0.0013819
G210,1880,Kentucky,210,Kentucky,271448,792,0.002917686,0.0012998
G220,1880,Louisiana,220,Louisianna,483623,4790,0.009904409,0.0078615
G230,1880,Maine,230,Maine,1860,20,0.010752688,0.0000328
G240,1880,Maryland,240,Maryland,209972,472,0.002247919,0.0007747
G250,1880,Massachusetts,250,Massachusetts,17750,607,0.034197183,0.0009962
G260,1880,Michigan,260,Michigan,20302,427,0.021032411,0.0007008
G270,1880,Minnesota,270,Minnesota,3724,47,0.012620838,0.0000771
G280,1880,Mississippi,280,Mississippi,651985,13296,0.020393107,0.0218217
G290,1880,Missouri,290,Missouri,145335,962,0.00661919,0.0015789
G305,1880,Montana Territory,305,Montana Territory,1740,1,0.000574713,0.0000016
G310,1880,Nebraska,310,Nebraska,2575,46,0.017864078,0.0000755
G320,1880,Nevada,320,Nevada,3263,9,0.002758198,0.0000148
G330,1880,New Hampshire,330,New Hampshire,702,12,0.017094017,0.0000197
G340,1880,New Jersey,340,New Jersey,38719,292,0.007541517,0.0004792
G355,1880,New Mexico Territory,355,New Mexico Territory,10741,14,0.001303417,0.0000230
G360,1880,New York,360,New York,64175,1237,0.019275419,0.0020302
G370,1880,North Carolina,370,North Carolina,532458,515912,0.968925249,0.8467263
G390,1880,Ohio,390,Ohio,79537,2485,0.031243321,0.0040784
G410,1880,Oregon,410,Oregon,2122,0,0,0.0000000
G420,1880,Pennsylvania,420,Pennsylvania,85109,588,0.006908788,0.0009650
G440,1880,Rhode Island,440,Rhode Island,6430,126,0.019595645,0.0002068
G450,1880,South Carolina,450,South Carolina,604240,6882,0.011389514,0.0112949
G470,1880,Tennessee,470,Tennessee,403421,9383,0.023258581,0.0153996
G480,1880,Texas,480,Texas,393477,6800,0.017281823,0.0111603
G495,1880,Utah Territory,495,Utah Territory,1011,3,0.002967359,0.0000049
G500,1880,Vermont,500,Vermont,1046,8,0.007648184,0.0000131
G510,1880,Virginia,510,Virginia,631621,9349,0.014801598,0.0153438
G535,1880,Washington Territory,535,Washington Territory,4417,2,0.000452796,0.0000033
G540,1880,West Virginia,540,West Virginia,25883,108,0.004172623,0.0001773
G550,1880,Wisconsin,550,Wisconsin,5772,29,0.005024255,0.0000476
G565,1880,Wyoming Territory,565,Wyoming Territory,430,5,0.011627907,0.0000082
