county,region,,,,,,,,,
Alamance,Piedmont,,,,,,,,,
Alexander,Piedmont,,,,,,,,,
Alleghany,Mountain,,,,,,,,,
Anson,Piedmont,,,,,,,,,
Ashe,Mountain,,,,,,,,,
Beaufort,Coastal Plain ,,,,,,,,,
Bertie,Coastal Plain ,,,,,,,,,
Bladen,Coastal Plain ,,,,,,,,,
Brunswick,Coastal Plain ,,,,,,,,,
Buncombe,Mountain,,,,,,,,,
Burke,Mountain,,,,,,,,,
Cabarrus,Piedmont,,,,,,,,,
Caldwell,Mountain,,,,,,,,,
Camden,Coastal Plain ,,,,,,,,,
Carteret,Coastal Plain ,,,,,,,,,
Caswell,Piedmont,,,,,,,,,
Catawba,Piedmont,,,,,,,,,
Chatham,Piedmont,,,,,,,,,
Cherokee,Mountain,,,,,,,,,
Chowan,Coastal Plain ,,,,,,,,,
Clay,Mountain,,,,,,,,,
Cleveland,Piedmont,,,,,,,,,
Columbus,Coastal Plain ,,,,,,,,,
Craven,Coastal Plain ,,,,,,,,,
Cumberland,Coastal Plain ,,,,,,,,,
Currituck,Coastal Plain ,,,,,,,,,
Dare,Coastal Plain ,,,,,,,,,
Davidson,Piedmont,,,,,,,,,
Davie,Piedmont,,,,,,,,,
Duplin,Coastal Plain ,,,,,,,,,
Edgecombe,Coastal Plain ,,,,,,,,,
Forsyth,Piedmont,,,,,,,,,
Franklin,Piedmont,,,,,,,,,
Gaston,Piedmont,,,,,,,,,
Gates,Coastal Plain ,,,,,,,,,
Graham,Mountain,,,,,,,,,
Granville,Piedmont,,,,,,,,,
Greene,Coastal Plain ,,,,,,,,,
Guilford,Piedmont,,,,,,,,,
Halifax,Coastal Plain ,,,,,,,,,
Harnett,Coastal Plain ,,,,,,,,,
Haywood,Mountain,,,,,,,,,
Henderson,Mountain,,,,,,,,,
Hertford,Coastal Plain ,,,,,,,,,
Hyde,Coastal Plain ,,,,,,,,,
Iredell,Piedmont,,,,,,,,,Yadkin
Jackson,Mountain,,,,,,,,,
Johnston,Coastal Plain ,,,,,,,,,
Jones,Coastal Plain ,,,,,,,,,
Lenoir,Coastal Plain ,,,,,,,,,
Lincoln,Piedmont,,,,,,,,,
McDowell,Mountain,,,,,,,,,
Macon,Mountain,,,,,,,,,
Madison,Mountain,,,,,,,,,
Martin,Coastal Plain ,,,,,,,,,
Mecklenburg,Piedmont,,,,,,,,,
Mitchell,Mountain,,,,,,,,,
Montgomery ,Piedmont,,,,,,,,,
Moore,Piedmont,,,,,,,,,
Nash,Coastal Plain ,,,,,,,,,
New Hanover,Coastal Plain ,,,,,,,,,
Northampton,Coastal Plain ,,,,,,,,,
Onslow,Coastal Plain ,,,,,,,,,
Orange,Piedmont,,,,,,,,,
Pamlico,Coastal Plain ,,,,,,,,,
Pasquontank,Coastal Plain ,,,,,,,,,
Pender,Coastal Plain ,,,,,,,,,
Perquimans,Coastal Plain ,,,,,,,,,
Person,Piedmont,,,,,,,,,
Pitt,Coastal Plain ,,,,,,,,,
Polk,Mountain,,,,,,,,,
Randolph,Piedmont,,,,,,,,,
Richmond,Piedmont,,,,,,,,,
Robeson,Coastal Plain ,,,,,,,,,
Rockingham,Piedmont,,,,,,,,,
Rowan,Piedmont,,,,,,,,,
Rutherford,Mountain,,,,,,,,,
Sampson,Coastal Plain ,,,,,,,,,
Stanly,Piedmont,,,,,,,,,
Stokes,Piedmont,,,,,,,,,
Surry,Mountain,,,,,,,,,
Swain,Mountain,,,,,,,,,
Transylvania,Mountain,,,,,,,,,
Tyrrell,Coastal Plain ,,,,,,,,,
Union,Piedmont,,,,,,,,,
Wake,Piedmont,,,,,,,,,
Warren,Piedmont,,,,,,,,,
Washington,Coastal Plain ,,,,,,,,,
Watauga,Mountain,,,,,,,,,
Wayne,Coastal Plain ,,,,,,,,,
Wilkes,Mountain,,,,,,,,,
Wilson,Coastal Plain ,,,,,,,,,
Yadkin,Piedmont,,,,,,,,,
Yancey,Mountain,,,,,,,,,
